code,market,Co.name,datetime,stock_price
9201,東証1部,日本航空(株),2021/04/17/17:41,2286
9202,東証1部,ＡＮＡホールディングス(株),2021/04/17/17:41,2459.5
9206,東証2部,(株)スターフライヤー,2021/04/17/17:41,2611
9232,東証1部,(株)パスコ,2021/04/17/17:41,1544
9233,東証2部,アジア航測(株),2021/04/17/17:41,830
3116,東証1部,トヨタ紡織(株),2021/04/17/17:41,1887
3526,東証1部,芦森工業(株),2021/04/17/17:41,1021
5949,東証1部,ユニプレス(株),2021/04/17/17:41,1115
6016,東証2部,(株)ジャパンエンジンコーポレーション,2021/04/17/17:41,1155
6018,東証2部,阪神内燃機工業(株),2021/04/17/17:41,1830
6023,東証2部,ダイハツディーゼル(株),2021/04/17/17:41,491
6042,東証2部,(株)ニッキ,2021/04/17/17:41,1842
6201,東証1部,(株)豊田自動織機,2021/04/17/17:41,9540
6455,東証1部,(株)モリタホールディングス,2021/04/17/17:41,1689
6493,東証2部,日鍛バルブ(株),2021/04/17/17:41,218
6584,東証1部,三桜工業(株),2021/04/17/17:41,1224
6902,東証1部,(株)デンソー,2021/04/17/17:41,7186
6982,東証2部,(株)リード,2021/04/17/17:41,917
6995,東証1部,(株)東海理化,2021/04/17/17:41,1857
7003,東証1部,(株)三井Ｅ＆Ｓホールディングス,2021/04/17/17:41,543
7012,東証1部,川崎重工業(株),2021/04/17/17:41,2643
7014,東証1部,(株)名村造船所,2021/04/17/17:41,202
7018,東証2部,内海造船(株),2021/04/17/17:41,1120
7022,東証1部,サノヤスホールディングス(株),2021/04/17/17:41,156
7102,東証1部,日本車輌製造(株),2021/04/17/17:41,2464
